,bill,rep
0,HB1112,M001211
1,HB1112,B000825
2,HB1112,Z000018
3,HB1276,B001291
4,HB1276,J000299
5,HB1276,G000576
6,HB1276,N000190
7,HB1276,H001086
8,HB1276,R000610
9,HB1399,M001211
10,HB1399,G000565
11,HB1399,G000589
12,HB1399,G000576
13,HB1399,D000615
14,HB1399,L000596
15,HB1399,H001086
16,HB1399,N000190
17,HB1399,N000026
18,HB1399,G000595
19,HB1399,H001082
20,HB1399,R000103
21,HB1399,B001291
22,HB1399,L000564
23,HB1399,H001077
24,HB1399,S001214
25,HB1399,H001096
26,HB1399,L000589
27,HB1399,B001302
28,HB1399,P000599
29,HB1490,D000032
30,HB1490,W000814
31,HB1490,B001298
32,HB1490,B001275
33,HB1490,L000578
34,HB1490,B001295
35,HB1490,L000589
36,HB1490,H001052
37,HB1490,L000564
38,HB1490,H001077
39,HB3328,B000825
40,HB3328,L000564
41,HB3328,G000565
42,HB3328,B001299
43,HB3328,D000615
44,HB3328,B001291
45,HB3328,R000603
46,HB3328,R000103
47,HB3328,W000814
48,HB3328,B001317
49,HB3328,N000190
50,HB3328,M001211
51,HB3328,G000576
52,HB3328,W000795
53,HB3328,M001216
54,HB3328,B001316
55,HB3328,S000522
56,HB3328,A000055
57,HB3328,M001136
58,HB3328,L000589
59,HB3329,B000825
60,HB3329,L000564
61,HB3329,G000565
62,HB3329,B001299
63,HB3329,D000615
64,HB3329,B001291
65,HB3329,R000603
66,HB3329,B001282
67,HB3329,R000103
68,HB3329,W000814
69,HB3329,B001317
70,HB3329,N000190
71,HB3329,M001211
72,HB3329,G000576
73,HB3329,W000795
74,HB3329,M001216
75,HB3329,B001316
76,HB3329,S000522
77,HB3329,A000055
78,HB3329,M001136
79,HB429,B001311
80,HB429,D000615
81,HB429,G000565
82,HB429,G000578
83,HB429,N000190
84,HB429,L000564
85,HB429,W000814
86,HB734,T000478
87,HB734,F000450
88,HB734,W000804
89,HB734,W000806
90,HB734,B001306
91,HB734,B001297
92,HB734,W000812
93,HB734,C001103
94,HB734,G000578
95,HB734,M001215
96,HB734,S001195
97,HB734,E000071
98,HB734,G000568
99,HB734,L000578
100,HB734,C001054
101,HB734,T000165
102,HB734,M000194
103,HB734,B001295
104,HB734,W000798
105,HB734,M001211
106,HB736,D000628
107,HB736,M001224
108,HB736,M001211
109,HB736,M001136
110,HB736,A000372
111,HB736,T000480
112,HB736,S001222
113,HB985,G000578
114,HB985,B000825
115,HB985,S001214
116,SB1595,B001243
117,SB1595,B001310
118,SB1595,C001096
119,SB1595,D000618
120,SB1595,H001079
121,SB1595,L000577
122,SB1595,M001190
123,SB1595,R000584
124,SB1595,R000595
125,SB1595,W000437
126,SB1595,H001089
127,SB1597,B001243
128,SB1597,C001096
129,SB1597,B001310
130,SB1597,D000618
131,SB1597,H001079
132,SB1597,M001190
133,SB1597,W000437
134,SB187,D000618
135,SB200,C000880
136,SB200,G000359
137,SB200,H001079
138,SB200,S001217
139,SB200,R000595
140,SB200,R000584
141,SB435,B001243
142,SB435,B001305
143,SB435,T000278
144,SB435,B001310
145,SB457,C001098
146,SB613,L000577
147,SB613,L000575
148,SB613,C001095
149,SB613,B001243
150,SB613,M001198
151,SB613,B001305
152,SB613,C001096
153,SB613,H001079
154,SB613,B001310
155,SB613,S001217
156,SB613,R000584
157,SB613,C000880
158,SB613,H000601
159,SB613,R000595
160,SB613,E000295
161,SB613,L000571
162,SB613,D000618
163,SB613,H001089
164,SB613,M001190
165,SB613,G000359
166,SB635,B001310
167,SB635,C001098
168,SB635,D000618
169,SB635,L000575
170,SB635,M001190
171,SB635,R000595
172,SB635,V000137
173,SB752,M001198
174,SB752,B001310
175,SB752,R000595
176,SB752,G000359
177,SB752,L000577
178,SB752,C001098
179,SB752,D000618
